Trip ID,Employee ID,Segment Type,Origin,Destination,Departure Date,Return Date,Class of Service,Distance (km),Cost (USD),Currency,Vendor,Nights
TRP-2024-001,EMP-123,Air,FRA,JFK,2024-01-08,2024-01-15,Economy,,1450.00,USD,Lufthansa,
TRP-2024-001,EMP-123,Hotel,,,2024-01-08,2024-01-15,,,980.00,USD,Marriott Times Square,7
TRP-2024-002,EMP-456,Air,LHR,SIN,2024-01-12,2024-01-19,Business,,4200.00,USD,Singapore Airlines,
TRP-2024-002,EMP-456,Hotel,,,2024-01-12,2024-01-19,,,1260.00,USD,Marina Bay Sands,7
TRP-2024-003,EMP-789,Air,BOM,DEL,2024-01-20,2024-01-20,Economy,,180.00,USD,IndiGo,
TRP-2024-003,EMP-789,Air,DEL,BOM,2024-01-22,2024-01-22,Economy,,180.00,USD,IndiGo,
TRP-2024-004,EMP-234,Car,,,,2024-02-05,2024-02-05,,1200,580.00,USD,Hertz,
TRP-2024-005,EMP-567,Air,AMS,DXB,2024-02-10,2024-02-13,Economy,,980.00,USD,Emirates,
TRP-2024-005,EMP-567,Hotel,,,2024-02-10,2024-02-13,,,450.00,USD,Dubai Marriott,3
TRP-2024-006,EMP-890,Air,CDG,SYD,2024-02-15,2024-02-22,Business,,7800.00,USD,Air France,
TRP-2024-006,EMP-890,Hotel,,,2024-02-15,2024-02-22,,,2100.00,USD,Sydney Hilton,7
TRP-2024-007,EMP-345,Rail,FRA,PAR,2024-03-01,2024-03-01,Standard,,85.00,EUR,Deutsche Bahn,
TRP-2024-008,EMP-678,Air,JFK,LAX,2024-03-05,2024-03-08,Economy,,380.00,USD,Delta,
TRP-2024-008,EMP-678,Hotel,,,2024-03-05,2024-03-08,,,540.00,USD,LA Marriott,3
TRP-2024-009,EMP-901,Air,HYD,DEL,2024-03-10,2024-03-12,Economy,,220.00,USD,IndiGo,
TRP-2024-009,EMP-901,Hotel,,,2024-03-10,2024-03-12,,,180.00,USD,Delhi Leela,2
TRP-2024-010,EMP-123,Air,FRA,PEK,2024-03-20,2024-03-27,Business,,5600.00,USD,Lufthansa,
TRP-2024-010,EMP-123,Hotel,,,2024-03-20,2024-03-27,,,2450.00,USD,Beijing Shangri-La,7
TRP-2024-011,EMP-456,Car,,,2024-04-02,2024-04-02,,450,220.00,USD,Enterprise,
TRP-2024-012,EMP-789,Air,BOM,LHR,2024-04-10,2024-04-17,Economy,,1850.00,USD,British Airways,
TRP-2024-012,EMP-789,Hotel,,,2024-04-10,2024-04-17,,,1120.00,USD,London Hilton,7
TRP-2024-013,EMP-234,Air,BER,IST,2024-04-15,2024-04-17,Economy,,420.00,EUR,Turkish Airlines,
TRP-2024-014,EMP-567,Air,AMS,JFK,2024-04-20,,Premium Economy,,2100.00,USD,KLM,
TRP-2024-015,EMP-890,Air,UNKNOWN_CODE,XYZ,2024-04-25,,Economy,,350.00,USD,Some Airline,
TRP-2024-016,EMP-345,Ferry,,,,2024-04-28,2024-04-28,,250,80.00,EUR,Stena Line,
